entity_text,label,count
Alexander,pers,41047
Antonius,pers,34440
Pompeius,pers,28652
Sulla,pers,20678
Cicero,pers,20313
Demetrius,pers,16929
Lucullus,pers,15113
Pelopidas,pers,13524
Marius,pers,13441
Pyrrhus,pers,12454
Demosthenes,pers,12398
Nikias,pers,10323
Crassus,pers,10189
Agesilaus,pers,8294
Aristeides,pers,7745
Kleomenes,pers,6564
Aratus,pers,6479
Sertorius,pers,6192
Kimon,pers,5713
Marcellus,pers,5708
Galba,pers,5431
Lysander,pers,5378
Phokion,pers,5007
Brutus,pers,4923
ch.,work,4388
"Dion,",pers,4053
"Agis,",pers,3856
Cato,work,3558
Major,work,3428
Artaxerxes,pers,2866
Eumenes,pers,2851
Cato Minor,pers,2791
Flamininus,pers,2617
Tib.,work,2507
Gracchus,pers,2050
Cæsar,pers,1836
Philopoemen,pers,1555
Gutenberg,pers,1264
Footnote,work,1059
Otho,pers,1047
Rome,loc,855
Cato,pers,779
Project,work,576
Plutarch,pers,513
Athens,loc,465
Alkibiades,pers,447
Perikles,pers,445
Themistokles,pers,425
Greece,loc,367
Romulus,pers,322
Dion,pers,321
Foundation,work,320
Mithridates,pers,309
Italy,loc,303
Sparta,loc,303
Dion Cassius,pers,291
Theseus,pers,276
Camillus,pers,269
Lykurgus,pers,268
Antigonus,pers,261
Solon,pers,254
iv,scope,251
Timoleon,pers,246
Project,pers,240
iii,scope,239
ch.,scope,225
Sicily,loc,224
Asia,loc,222
Fabius,pers,207
Philip,pers,202
ii,scope,202
Scipio,pers,200
Dionysius,pers,200
Tiberius,pers,193
Metellus,pers,186
Caius,pers,183
Appian,pers,183
B.C.,work,179
Macedonia,loc,173
iii.,scope,173
Hannibal,pers,172
Plato,pers,167
Cassius,pers,167
Æmilius,pers,166
Numa,pers,165
Cleopatra,pers,154
iv.,scope,148
Forum,work,146
Syracuse,loc,146
Egypt,loc,133
Agis,pers,130
Corinth,loc,129
Lucius,pers,124
Clodius,pers,120
Marcius,pers,118
Cyrus,pers,118
Tigranes,pers,114
Ptolemy,pers,110
Coriolanus,pers,110
Antipater,pers,106
Poplicola,pers,102
Titus,pers,99
Appianus,pers,99
Marcus,pers,96
Strabo,pers,93
Kaltwasser,pers,93
Darius,pers,93
Gaul,loc,92
Syria,loc,91
Philopœmen,pers,88
Pausanias,pers,87
Nero,pers,87
Seleukus,pers,85
Herakles,pers,83
Theseus,loc,82
U.S.,work,80
Delphi,loc,79
Drumann,pers,78
Athenian,pers,78
Spain,loc,78
Antiochus,pers,76
ch,scope,75
B.C,work,75
Capitol,work,74
Sintenis,pers,73
Libya,loc,73
Livius,pers,73
Iberia,loc,73
Argos,loc,73
Peloponnesus,loc,73
Cyprus,loc,71
Persia,loc,71
31,scope,70
Thebes,loc,69
Epameinondas,pers,67
Armenia,loc,67
Aristotle,pers,66
Aemilius,pers,66
Octavius,pers,66
Thessaly,loc,65
Catulus,pers,65
43,scope,65
c.,scope,65
1.F.3,scope,64
Archelaus,pers,64
Lepidus,pers,63
29,scope,63
",",scope,63
Lentulus,pers,62
Homer,pers,62
Cilicia,loc,62
22,scope,62
27,scope,61
Thucydides,pers,60
Cinna,pers,60
20,scope,60
21,scope,60
30,scope,60
Augustus,pers,60
Numa,work,59
19,scope,59
Salamis,loc,58
Leonidas,pers,57
Domitius,pers,57
32,scope,57
Attica,loc,57
Cornelia,pers,56
41,scope,56
Lysimachus,pers,56
42,scope,56
Africa,loc,56
Ptolemæus,pers,55
L.,pers,55
Cornelius,pers,54
Herakleides,pers,54
39,scope,54
Civil Wars,work,54
Quintus,pers,52
Life,work,52
Bœotia,loc,52
